"Error: cannot find order in session","Fout: bestelling niet te vinden in sessie"
"Error getting payment information from session","Fout: betalingsinformatie niet te vinden in sessie"
"Error: no payment URL found in session","Fout: geen betalings-URL in sessie"
"There was an error when validating your payment. Please try again or contact us if the problem persists.","Er is iets fout gegaan bij de bevestiging van uw betaling. Probeert u het opnieuw of neem contact met ons op als het probleem blijft bestaan."
"Cannot get payment information from order %s","Kan betalingsinformatie van bestelling %s niet vinden"
"First instalment captured successfully","Eerste termijn afgeschreven"
"You notified customer about invoice %1","De klant is geïnformeerd over factuur %1"
"API key","API-sleutel"
"API key is required","API-sleutel vereist"
"Error checking %s - other configuration has been saved","Fout bij verificatie van de %s - de overige instellingen zijn opgeslagen"
"Test API key","API-sleutel  Test"
"Live API key","API-sleutel Live"
"-- Please Select a Type --","-- Selecteer een type --"
"Live","Live"
"Test","Test"
"(Maximum amount: %s)","(Maximum bedrag: %s)"
"(Minimum amount: %s)","(Minimum bedrag: %s)"
"An error occurred during payment processing:","Er is iets fout gegaan bij de verwerking van uw betaling: "
"Successfully created Alma Payment. Redirecting customer & awaiting payment return.","Alma betaling aangemaakt. Klant doorgestuurd naar Alma, in afwachting van terugkeer na betaling."
"Alma monthly payments","Alma - gespreid betalen"
"Title","Titel"
"Description","Beschrijving"
"Enabled","Activiteit"
"Sort Order","Positie"
"Debug","Debug"
"Enable logging info and errors to help debug any issue with the module.","Schakelt foutregistratie en informatie in die nuttig is voor het debuggen van problemen met de module."
"Excluded product types","Uitgesloten producttypes"
"Excluded products message","Bericht uitsluiting producten"
"List/explain which products aren't eligible to monthly payments","Benoem/leg uit welke producten niet in aanmerking komen voor gespreid betalen"
"API configuration","Configuratie van API"
"You can find your API keys on <a href=""https://dashboard.getalma.eu/security"" target=""_blank"">your Alma dashboard</a>","U vindt uw API-sleutels in <a href=""https://dashboard.getalma.eu/security"" target=""_blank"">uw dashboard van Alma</a>"
"API mode","Modus van API"
"Use Test mode until you are ready to take real orders with Alma. In Test mode, only admins can see Alma on cart/checkout pages.","Gebruik de modus Test totdat u klaar bent om bestellingen met Alma te accepteren."
"Payment method configuration","Configuratie van de betalingsmethode"
"This controls the payment method name which the user sees during checkout.","Configureer de naam van de betalingsmethode zoals weergegeven op de checkout-pagina "
"This controls the payment method description which the user sees during checkout.","Configureer de beschrijving van de betalingsmethode zoals weergegeven op de checkout-pagina"
"Cart display","Configuratie winkelmand"
"A message can be displayed in the cart and minicart to indicate the order eligibility for monthly payments","Een bericht dat aangeeft of de bestelling in aanmerking komt voor gespreide betaling kan worden weergegeven in het winkelwagentje en op de minikaart"
"Display cart eligibility message","Bericht geschiktheid weergeven"
"Eligibility message","Bericht geschiktheid"
"Non-eligibility message","Bericht niet-geschiktheid"
"Virtual and downloadable products aren't eligible","Virtuele/downloadbare producten komen niet in aanmerking"
"Yes","Ja"
"No","Nee"
"Alma monthly and deferred payments","Maandelijkse en uitgestelde betalingen met Alma"
